News Org,Tweets Ago,Date,Tweet,Compound,Positive,Neutral,Negative
@BBC,0,Fri Dec 01 19:00:02 +0000 2017,"Former Nazi leader, Ingo Hasselbach has developed a system in Germany to fight extremism.
Via BBC World Hacks. https://t.co/VTbEfmUGvk",-0.3818,0.0,0.133,0.867
@BBC,1,Fri Dec 01 18:30:09 +0000 2017,🥑👮 The avocado police protecting Mexico's green gold. https://t.co/nY6VtkGxtA https://t.co/UBmnrbTzTH,0.0,0.0,0.0,1.0
@BBC,2,Fri Dec 01 18:01:03 +0000 2017,"When @LoyleCarner met his all-time hero Eric Cantona. ❤️️ Watch The Premier League Show, here. 👉… https://t.co/NQDq5uxKkS",0.5574,0.184,0.0,0.816
@BBC,3,Fri Dec 01 17:30:09 +0000 2017,"'I’ve learnt for the first time in years to accept my skin.' 
Could ‘acne positivity’ help you to love your spots?… https://t.co/J1PLYHNzMO",0.8591,0.333,0.0,0.667
@BBC,4,Fri Dec 01 17:18:28 +0000 2017,"RT @BBCEarth: With a drone, his friends and a wheelchair, @jaimenhudson can fly
#OurBluePlanet #BluePlanet2 https://t.co/zM2p9ZnwbR",0.4767,0.193,0.0,0.807
@BBC,5,Fri Dec 01 17:06:02 +0000 2017,All dressed up and heading out on a Friday night like... 👑 💅 #FridayFeeling #BluePlanet2 https://t.co/mmJxVP7Hjy,0.0,0.0,0.0,1.0
@BBC,6,Fri Dec 01 16:30:03 +0000 2017,"Who's excited for @PalomaFaith to host #SLFN tonight? 

WE ARE!

7.30pm | @BBCOne | https://t.co/JXdFw7Flfy https://t.co/x7kyc96jZb",0.4003,0.172,0.0,0.828
@BBC,7,Fri Dec 01 16:03:06 +0000 2017,"Coming up on @BBCFour this Christmas; Eric, Ernie &amp; Me, La Bohème, Elvis and more! ⛄️ 🎶 🌟 https://t.co/lALkwMP6Th https://t.co/wL6oIRaUVc",0.0,0.0,0.0,1.0
@BBC,8,Fri Dec 01 15:31:05 +0000 2017,🔬 🎧 @brittwray &amp; @elliecosgrave discuss how close we are to the next pandemic in episode 5 of the @TWBBC podcast. 👉… https://t.co/zksLmMErzC,0.0,0.0,0.0,1.0
@BBC,9,Fri Dec 01 14:59:04 +0000 2017,"Today is the first day of winter - or is it? ❄
Working out exactly when autumn finishes &amp; winter begins isn't as si… https://t.co/8qhmrtHUFX",0.0,0.0,0.0,1.0
@BBC,10,Fri Dec 01 14:28:33 +0000 2017,"On #WorldAIDSDay, @RiyadhK looks at some iconic 80s advertising from the safe sex campaign stressing the importance… https://t.co/4IaLF5gWY2",0.1027,0.136,0.117,0.748
@BBC,11,Fri Dec 01 14:00:07 +0000 2017,"'For the ear, he (Elvis) is an unutterable bore.' ~ @NYTimes.
😬 7 times music critics got things completely wrong.… https://t.co/8ETpF9UMXD",-0.296,0.0,0.115,0.885
@BBC,12,Fri Dec 01 13:31:02 +0000 2017,"With drug-resistant superbugs on the rise, scientists are searching for new antibiotics in exotic and extreme place… https://t.co/zwgK11WqUJ",0.0,0.0,0.0,1.0
@BBC,13,Fri Dec 01 13:00:08 +0000 2017,"'Cows always find time for extra-curricular activities.' 🐮
Nine udderly fascinating facts about cows. 👉… https://t.co/5CluNT3eYN",0.5423,0.2,0.0,0.8
@BBC,14,Fri Dec 01 12:30:03 +0000 2017,"The apocalypse smells like racism. 😂
#QI via @BBCTwo. 
Watch on @BBCiPlayer. 👉 https://t.co/8GlsOYI8Ej https://t.co/qf2XCUaENY",-0.3818,0.142,0.233,0.625
@BBC,15,Fri Dec 01 12:18:09 +0000 2017,"RT @BBCSpringwatch: Three wise men? 
Not quite, but we do have three ADORABLE long-eared owls in the Autumnwatch advent calendar 😍 https://…",0.8151,0.282,0.0,0.718
@BBC,16,Fri Dec 01 12:03:01 +0000 2017,You're the man @BrandonFlowers. 👏 🎶 🌟 We're still loving @thekillers' performance from #SLFN Via @BBCMusic https://t.co/4q9sdosZjG,0.5994,0.231,0.0,0.769
@BBC,17,Fri Dec 01 11:34:46 +0000 2017,"Go crab, go! 🦀 🐍 🐙
#BluePlanet2 via @BBCEarth.

Coasts | Sunday 8PM | @BBCOne. https://t.co/vazOWtmE7U",0.0,0.0,0.0,1.0
@BBC,18,Fri Dec 01 11:02:10 +0000 2017,"It's #WorldCupDraw day! 🙌

Whichever country you land on will be your second team at the #WorldCup (unless they’re… https://t.co/Kns3zUZ2KG",0.0,0.0,0.0,1.0
@BBC,19,Fri Dec 01 10:34:22 +0000 2017,"RT @bbcthree: 45% of burglaries are committed by heroin and crack users. 
This is the story behind of one of them. #Drugsland https://t.co/…",-0.2732,0.08,0.122,0.798
@BBC,20,Fri Dec 01 10:30:07 +0000 2017,"BBC RemArc, a tool to trigger memories in people with dementia using archive material, has won the @AlzheimersSoc D… https://t.co/qjHjcboEtr",0.5719,0.171,0.0,0.829
@BBC,21,Fri Dec 01 10:00:05 +0000 2017,"Mary Berry's got the perfect no-hassle soup for cold nights. 🍲😋
#CountryHouseSecrets via @BBCFood. 
Full recipe her… https://t.co/hRuSme1z3f",0.5719,0.179,0.0,0.821
@BBC,22,Fri Dec 01 09:44:25 +0000 2017,"RT @bbccomedy: Yep, this guy knows what women want... 👌 @HaveIGotNews @StephenMangan https://t.co/mYPUSwEH6X",0.296,0.167,0.0,0.833
@BBC,23,Fri Dec 01 09:02:06 +0000 2017,Advent calendars are back! Why not wash down your chocolate breakfast with a festive Christmas smoothie? 🍊 🎄 Via… https://t.co/AxWzJw6tto,0.5093,0.171,0.0,0.829
@BBC,24,Fri Dec 01 08:44:23 +0000 2017,"RT @BBCSpringwatch: Today is the first day of winter - or is it? 
https://t.co/Z1EhZvY3B8 https://t.co/MhRY6AmfjM",0.0,0.0,0.0,1.0
@BBC,25,Fri Dec 01 08:44:13 +0000 2017,"RT @bbcthree: ""Some boys can marry boys, and some girls can marry girls.""

3 kids take on relationships. https://t.co/jpivtYs73H",0.0,0.0,0.0,1.0
@BBC,26,Fri Dec 01 08:43:21 +0000 2017,RT @BBCWthrWatchers: Happy #MeteorologicalWinter! https://t.co/TafPMdAsiO,0.6114,0.499,0.0,0.501
@BBC,27,Fri Dec 01 08:43:18 +0000 2017,"RT @BBC_Teach: Rosa Parks' brave refusal to give up her bus seat took place #onthisday in 1955.

Your Primary pupils can find out about her…",0.5267,0.124,0.0,0.876
@BBC,28,Fri Dec 01 08:43:08 +0000 2017,RT @BBCiPlayer: 😉 Mood board.  #TommyShelby https://t.co/nuDTKGKFyy,0.0,0.0,0.0,1.0
@BBC,29,Fri Dec 01 08:40:03 +0000 2017,"If all animals had the rational thinking &amp; self-awareness that humans do, our species (&amp; the planet) would be in fo… https://t.co/HDLTAM9XZO",0.0,0.0,0.0,1.0
@BBC,30,Fri Dec 01 08:20:04 +0000 2017,How Marianne Faithfull became the wide-eye poster girl for the swinging 60s. ☮✌️ https://t.co/PLDthOlCbf https://t.co/nGcaq50zhp,0.0,0.0,0.0,1.0
@BBC,31,Fri Dec 01 08:00:06 +0000 2017,"Isaiah Acosta was born without a jaw. But that hasn't stopped him becoming a rapper, with some help from… https://t.co/tRZk2rxqZ9",0.5213,0.214,0.0,0.786
